id,BRAND,PURPOSE,OPERATING_SYSTEM,YEAR,PROCESSOR_TYPE,AMD_MODEL,INTEL_MODEL,QUALCOMM_MODEL,GRAPHICS_NUMBER,GRAPHICS_TYPE,GRAPHICS_BRAND,NVIDIA_GRAPHICS,AMD_GRAPHICS,INTEL_GRAPHICS,DRIVE_NUMBER,DRIVE_TYPE,CAPACITY,RAM_NUMBER,RAM_TYPE,RAM_CAPACITY,SCREEN_RESOLUTION,SCREEN_CONDITION,KEYBOARD_LAYOUT,KEYBOARD_CONDITION,LAPTOP_POWER_STATUS,LAPTOP_CHARGER,LAPTOP_USB,LAN_PORT,WIFI_CONDITION,BLUETOOTH_CONDITION
0,Acer,Gaming,FreeDos,2000,AMD,AMD Athlon™ Gold 7220C,Atom C5115,8x,1,integrated,Intel,gtx 950,radeon 660,intel hd graphics ,1,SSD NVME,120GB,1,DDR1,1GB,720p: 1280x720 pixels,PERFECT,AMERICAN,PERFECT WITH BACKLIGHT,TURNING ON AND BOOTING TO DESKTOP,INCLUDED,ALL CONFIRMED WORKIN,CONFIMED WORKING,CONFIRMED WORKING,CONFIRMED WORKING
1,Alienware,Office,Windows,2001,INTEL,AMD Athlon™ Silver 7120C,Atom C5125,8x gen2,2,dedicated,Nvidia ,gtx 970,radeon 670,intel family,2,SSD SATA,240GB,2,DDR2,2GB,WXGA: 1366x768 pixels,BROKEN,UK ,NOT WORKING,TURNING ON BOOTING TO BIOS,NOT INCLUDED,ONLY ONE WORKING,NOT WORKING,NOT WORKING,NOT WORKING
2,Apple,Handheld,Mac OS,2002,QUALCOMM,AMD Ryzen™ 5 7520C,Atom C5310,,,,AMD,,,,3,HDD 5400,320GB,3,DDR3,4GB,HD+: 1600x900 pixels,SCRATCHED,JAPAN,BAD KEYS,TURNING ON NOT BOOTING TO DESKTOP,,ONLY TWO WORKING,NOT TESTED,,NO BLUETOOTH
3,Asus,,Linux,2003,OTHERS,AMD Ryzen™ 3 7320C,Atom C5315,,,,,,,,,HDD 7200,500GB,,DDR4,8GB,FHD (Full HD): 1920x1080 pixels,DIRTY,GERMAN,PERFECT WITHOUT BACKLIGHT,NOT TURNING ON BUT INDICATES CHARGING,,ONLY THREE WORKING,,,
4,Aorus,,Chrome,2004,,AMD Ryzen™ 9 8945HS,Atom C5320,,,,,,,,,,1TB,,DDR5,16GB,WUXGA: 1920x1200 pixels,BROKEN HINGE,,PERFECT WITH TOUCHBAR AND BACKLIGHT,NOT TURNING ON OR INDICATING CHARGING,,,,,
5,Avita,,,2005,,AMD Ryzen™ 7 8845HS,Atom C5325,,,,,,,,,,2TB,,,32GB,QHD (Quad HD): 2560x1440 pixels,REFURBISHED HINGE,,PERFECT WITH TOUCHBAR WITHOUT  BACKLIGHT,TURNING ON BUT SCREEN IS BLANK BUT WORKS WITH EXTERNAL DISPLAY,,,,,
6,Chuwi,,,2006,,AMD Ryzen™ 5 8645HS,Atom C3338R,,,,,,,,,,4TB,,,64GB,3K: 2880x1620 pixels,WEBCAM NOT FUNCTIONAL,,,TURNING ON BUT SCREEN IS BLANK BUT NOT WORKS WITH EXTERNAL DISPLAY,,,,,
7,Dell,,,2007,,AMD Ryzen™ 9 7945HX3D,Atom C3436L,,,,,,,,,,8TB,,,,4K (Ultra HD): 3840x2160 pixels,MIC NOT FUNCTIONAL,,,,,,,,
8,Fujitsu,,,2008,,AMD Ryzen™ 9 7945HX,Atom C3558R,,,,,,,,,,12TB,,,,5K: 5120x2880 pixels,NO DISPLAY OUTPUT,,,,,,,,
9,Gigabyte,,,2009,,AMD Ryzen™ 7 8840HS,Atom C3758R,,,,,,,,,,,,,,6K: 6144x3456 pixels,,,,,,,,,
10,Google Chromebooks,,,2010,,AMD Ryzen™ 5 8640HS,Atom C3336,,,,,,,,,,,,,,8K: 7680x4320 pixels,,,,,,,,,
11,HP,,,2011,,AMD Ryzen™ 5 8640U,Atom C3308,,,,,,,,,,,,,,Retina,,,,,,,,,
12,Huawei,,,2012,,AMD Ryzen™ 9 7845HX,Atom C3508,,,,,,,,,,,,,,,,,,,,,,,
13,Lenovo,,,2013,,AMD Ryzen™ 7 8840U,Atom C3538,,,,,,,,,,,,,,,,,,,,,,,
14,LG,,,2014,,AMD Ryzen™ 5 8540U,Atom C3558,,,,,,,,,,,,,,,,,,,,,,,
15,Microsoft,,,2015,,AMD Ryzen™ 7 7745HX,Atom C3708,,,,,,,,,,,,,,,,,,,,,,,
16,MSI,,,2016,,AMD Ryzen™ 5 7645HX,Atom C3750,,,,,,,,,,,,,,,,,,,,,,,
17,Razer,,,2017,,AMD Ryzen™ 9 7940HX,Atom C3758,,,,,,,,,,,,,,,,,,,,,,,
